iter	Passed	Remaining
818	3284	725
819	3288	721
820	3291	717
821	3295	713
822	3299	709
823	3303	705
824	3307	701
825	3310	697
826	3314	693
827	3318	689
828	3322	685
829	3326	681
830	3330	677
831	3333	673
832	3337	669
833	3341	665
834	3345	661
835	3349	656
836	3352	652
837	3356	648
838	3360	644
839	3364	640
840	3367	636
841	3371	632
842	3375	628
843	3379	624
844	3382	620
845	3386	616
846	3388	612
847	3392	608
848	3396	604
849	3400	600
850	3403	595
851	3407	591
852	3411	587
853	3415	583
854	3419	579
855	3423	575
856	3426	571
857	3430	567
858	3434	563
859	3438	559
860	3442	555
861	3445	551
862	3449	547
863	3453	543
864	3457	539
865	3461	535
866	3465	531
867	3468	527
868	3472	523
869	3476	519
870	3480	515
871	3484	511
872	3488	507
873	3492	503
874	3496	499
875	3500	495
876	3504	491
877	3508	487
878	3512	483
879	3516	479
880	3519	475
881	3523	471
882	3527	467
883	3531	463
884	3534	459
885	3538	455
886	3542	451
887	3546	447
888	3550	443
889	3553	439
890	3557	435
891	3561	431
892	3565	427
893	3569	423
894	3573	419
895	3577	415
896	3581	411
897	3584	407
898	3588	403
899	3592	399
900	3596	395
901	3600	391
902	3603	387
903	3607	383
904	3611	379
905	3615	375
906	3619	371
907	3623	367
908	3627	363
909	3630	359
910	3634	355
911	3638	351
912	3642	347
913	3646	343
914	3650	339
915	3653	335
916	3657	331
917	3661	327
918	3665	323
919	3669	319
920	3672	315
921	3676	311
922	3680	307
923	3684	303
924	3688	299
925	3692	295
926	3696	291
927	3699	287
928	3703	283
929	3707	279
930	3711	275
931	3715	271
932	3720	267
933	3724	263
934	3727	259
935	3731	255
936	3735	251
937	3739	247
938	3742	243
939	3746	239
940	3750	235
941	3754	231
942	3757	227
943	3761	223
944	3765	219
945	3769	215
946	3773	211
947	3777	207
948	3780	203
949	3784	199
950	3788	195
951	3792	191
952	3796	187
953	3800	183
954	3804	179
955	3807	175
956	3811	171
957	3815	167
958	3819	163
959	3823	159
960	3827	155
961	3831	151
962	3834	147
963	3838	143
964	3842	139
965	3846	135
966	3850	131
967	3853	127
968	3857	123
969	3861	119
970	3865	115
971	3868	111
972	3872	107
973	3876	103
974	3880	99
975	3883	95
976	3887	91
977	3891	87
978	3895	83
979	3899	79
980	3903	75
981	3906	71
982	3910	67
983	3914	63
984	3918	59
985	3922	55
986	3926	51
987	3930	47
988	3933	43
989	3937	39
990	3941	35
991	3945	31
992	3949	27
993	3953	23
994	3956	19
995	3960	15
996	3964	11
997	3968	7
998	3972	3
999	3976	0
